"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"1","UXM","wgbstools","BRCA","310M",0.025,6
"2","MetDecode","wgbstools","BRCA","310M",0.01,2
"3","CelFiE","wgbstools","BRCA","310M",0.007,1
"4","EpiDISH_RPC","wgbstools","BRCA","310M",0.05,7
"5","meth_atlas","wgbstools","BRCA","310M",0.01,2
"6","EpiSCORE","wgbstools","BRCA","310M",0.05,7
"7","PRMeth","wgbstools","BRCA","310M",0.1,9
"8","CIBERSORT","wgbstools","BRCA","310M",0.1,9
"9","EpiDISH_CP_eq","wgbstools","BRCA","310M",0.01,2
"10","EpiDISH_CP_ineq","wgbstools","BRCA","310M",0.01,2
"11","UXM","limma","BRCA","310M",0.025,4
"12","MetDecode","limma","BRCA","310M",0.025,4
"13","CelFiE","limma","BRCA","310M",0.007,1
"14","EpiDISH_RPC","limma","BRCA","310M",0.1,8
"15","meth_atlas","limma","BRCA","310M",0.025,4
"16","EpiSCORE","limma","BRCA","310M",0.1,8
"17","PRMeth","limma","BRCA","310M",0.025,4
"18","CIBERSORT","limma","BRCA","310M",0.1,8
"19","EpiDISH_CP_eq","limma","BRCA","310M",0.007,1
"20","EpiDISH_CP_ineq","limma","BRCA","310M",0.007,1
"21","UXM","DMRfinder","BRCA","310M",0.025,5
"22","MetDecode","DMRfinder","BRCA","310M",0.01,2
"23","CelFiE","DMRfinder","BRCA","310M",0.007,1
"24","EpiDISH_RPC","DMRfinder","BRCA","310M",0.5,9
"25","meth_atlas","DMRfinder","BRCA","310M",0.025,5
"26","EpiSCORE","DMRfinder","BRCA","310M",0.25,8
"27","PRMeth","DMRfinder","BRCA","310M",0.025,5
"28","CIBERSORT","DMRfinder","BRCA","310M",0.5,9
"29","EpiDISH_CP_eq","DMRfinder","BRCA","310M",0.01,2
"30","EpiDISH_CP_ineq","DMRfinder","BRCA","310M",0.01,2
"31","EpiDISH_CP_eq","DMRfinder","BRCA","62M",0.01,1
"32","EpiDISH_CP_ineq","DMRfinder","BRCA","62M",0.05,3
"33","MetDecode","DMRfinder","BRCA","62M",0.05,3
"34","CelFiE","DMRfinder","BRCA","62M",0.025,2
"35","UXM","DMRfinder","BRCA","62M",0.05,3
"36","EpiSCORE","DMRfinder","BRCA","62M",0.25,7
"37","PRMeth","DMRfinder","BRCA","62M",0.25,7
"38","meth_atlas","DMRfinder","BRCA","62M",0.05,3
"39","EpiDISH_RPC","DMRfinder","BRCA","62M",0.5,9
"40","CIBERSORT","DMRfinder","BRCA","62M",1,10
"41","EpiDISH_CP_eq","wgbstools","BRCA","62M",0.025,1
"42","EpiDISH_CP_ineq","wgbstools","BRCA","62M",0.025,1
"43","MetDecode","wgbstools","BRCA","62M",1,10
"44","CelFiE","wgbstools","BRCA","62M",0.025,1
"45","UXM","wgbstools","BRCA","62M",0.025,1
"46","EpiSCORE","wgbstools","BRCA","62M",0.1,6
"47","PRMeth","wgbstools","BRCA","62M",0.1,6
"48","meth_atlas","wgbstools","BRCA","62M",0.05,5
"49","EpiDISH_RPC","wgbstools","BRCA","62M",0.25,8
"50","CIBERSORT","wgbstools","BRCA","62M",0.25,8
"51","EpiDISH_CP_eq","limma","BRCA","62M",0.025,1
"52","EpiDISH_CP_ineq","limma","BRCA","62M",0.05,2
"53","MetDecode","limma","BRCA","62M",0.1,5
"54","CelFiE","limma","BRCA","62M",0.05,2
"55","UXM","limma","BRCA","62M",0.1,5
"56","EpiSCORE","limma","BRCA","62M",0.1,5
"57","PRMeth","limma","BRCA","62M",0.1,5
"58","meth_atlas","limma","BRCA","62M",0.05,2
"59","EpiDISH_RPC","limma","BRCA","62M",0.1,5
"60","CIBERSORT","limma","BRCA","62M",0.1,5
"61","EpiDISH_CP_eq","limma","BRCA","183M",0.007,5
"62","MetDecode","limma","BRCA","183M",0.007,5
"63","CelFiE","limma","BRCA","183M",0.025,8
"64","UXM","limma","BRCA","183M",0.05,9
"65","meth_atlas","limma","BRCA","183M",0.003,3
"66","EpiSCORE","limma","BRCA","183M",0.001,2
"67","PRMeth","limma","BRCA","183M",1e-04,1
"68","EpiDISH_RPC","limma","BRCA","183M",0.007,5
"69","CIBERSORT","limma","BRCA","183M",0.05,9
"70","EpiDISH_CP_ineq","limma","BRCA","183M",0.003,3
"71","EpiDISH_CP_eq","DMRfinder","BRCA","183M",0.025,1
"72","MetDecode","DMRfinder","BRCA","183M",0.025,1
"73","CelFiE","DMRfinder","BRCA","183M",0.025,1
"74","UXM","DMRfinder","BRCA","183M",0.05,6
"75","meth_atlas","DMRfinder","BRCA","183M",0.025,1
"76","EpiSCORE","DMRfinder","BRCA","183M",0.5,8
"77","PRMeth","DMRfinder","BRCA","183M",0.05,6
"78","EpiDISH_RPC","DMRfinder","BRCA","183M",1,9
"79","CIBERSORT","DMRfinder","BRCA","183M",1,9
"80","EpiDISH_CP_ineq","DMRfinder","BRCA","183M",0.025,1
"81","EpiDISH_CP_eq","wgbstools","BRCA","183M",0.007,1
"82","MetDecode","wgbstools","BRCA","183M",1,10
"83","CelFiE","wgbstools","BRCA","183M",0.007,1
"84","UXM","wgbstools","BRCA","183M",0.025,4
"85","meth_atlas","wgbstools","BRCA","183M",0.05,5
"86","EpiSCORE","wgbstools","BRCA","183M",0.1,7
"87","PRMeth","wgbstools","BRCA","183M",0.05,5
"88","EpiDISH_RPC","wgbstools","BRCA","183M",0.1,7
"89","CIBERSORT","wgbstools","BRCA","183M",0.1,7
"90","EpiDISH_CP_ineq","wgbstools","BRCA","183M",0.007,1
"91","CelFiE","limma","BRCA","620M",0.007,1
"92","MetDecode","limma","BRCA","620M",0.01,5
"93","UXM","limma","BRCA","620M",0.025,7
"94","EpiSCORE","limma","BRCA","620M",0.025,7
"95","PRMeth","limma","BRCA","620M",0.01,5
"96","CIBERSORT","limma","BRCA","620M",0.025,7
"97","EpiDISH_RPC","limma","BRCA","620M",0.025,7
"98","meth_atlas","limma","BRCA","620M",0.007,1
"99","EpiDISH_CP_ineq","limma","BRCA","620M",0.007,1
"100","EpiDISH_CP_eq","limma","BRCA","620M",0.007,1
"101","CelFiE","DMRfinder","BRCA","620M",0.007,1
