sample,predicted_tf,deconv_tool,tumor_type,dmr_tool,seq_depth,seq_method,mixture_type,expected_tf
healthy_merged_LUAD_5_0.001_183000000_rep1,0.0165446428638498,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_5_0.001_183000000_rep2,0.0117161749191337,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_5_0.001_183000000_rep3,0.0105972082949492,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_5_0.001_183000000_rep4,0.0371775415137574,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_5_0.001_183000000_rep5,0.0209768033717238,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_5_0.007_183000000_rep1,0.0362130088149701,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_5_0.007_183000000_rep2,0.0288150660996036,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_5_0.007_183000000_rep3,0.0226783651186141,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_5_0.007_183000000_rep4,0.0135100089590895,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_5_0.007_183000000_rep5,0.028450846428104,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_5_0.01_183000000_rep1,0.026723838949212,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_5_0.01_183000000_rep2,0.0309498551279393,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_5_0.01_183000000_rep3,0.0358970813058558,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_5_0.01_183000000_rep4,0.0355628506269659,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_5_0.01_183000000_rep5,0.0302671151320897,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_5_0.05_183000000_rep1,0.0529629941531091,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.05
healthy_merged_LUAD_5_0.05_183000000_rep2,0.0517389093998707,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.05
healthy_merged_LUAD_5_0.05_183000000_rep3,0.0649051464045717,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.05
healthy_merged_LUAD_5_0.05_183000000_rep4,0.0563783022283625,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.05
healthy_merged_LUAD_5_0.05_183000000_rep5,0.0613202626734914,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.05
healthy_merged_LUAD_5_0.5_183000000_rep1,0.390018250696892,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.5
healthy_merged_LUAD_5_0.5_183000000_rep2,0.385546680784897,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.5
healthy_merged_LUAD_5_0.5_183000000_rep3,0.388803485153938,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.5
healthy_merged_LUAD_5_0.5_183000000_rep4,0.395072608119823,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.5
healthy_merged_LUAD_5_0.5_183000000_rep5,0.384436655202734,Houseman_eq,LUAD_5,limma,183000000,wgbs,in_silico,0.5
healthy_merged_LUAD_1_0.001_183000000_rep1,0.0,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_1_0.001_183000000_rep2,0.0476538,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_1_0.001_183000000_rep3,0.0124026,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_1_0.001_183000000_rep4,0.0152893,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_1_0.001_183000000_rep5,0.0215121,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.001
healthy_merged_LUAD_1_0.007_183000000_rep1,0.0427648,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_1_0.007_183000000_rep2,0.0307244,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_1_0.007_183000000_rep3,0.0102489,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_1_0.007_183000000_rep4,0.0342401,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_1_0.007_183000000_rep5,0.0512619,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.007
healthy_merged_LUAD_1_0.01_183000000_rep1,0.0280932,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_1_0.01_183000000_rep2,0.0526652,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_1_0.01_183000000_rep3,0.0013834,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_1_0.01_183000000_rep4,0.0427058,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_1_0.01_183000000_rep5,0.0176266,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.01
healthy_merged_LUAD_1_0.05_183000000_rep1,0.0527413,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.05
healthy_merged_LUAD_1_0.05_183000000_rep2,0.0704869,UXM,LUAD_1,limma,183000000,wgbs,in_silico,0.05
