sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.001_20000000_rep2,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep8,0.0002,RefFreeCellMix,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep7,0.0122,RefFreeCellMix,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.007
healthy_NBL_0.05_20000000_rep5,0.1158,RefFreeCellMix,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.05
healthy_NBL_0.5_20000000_rep2,1.0,RefFreeCellMix,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.5
healthy_NBL_0.001_20000000_rep2,0.0,MeDeCom,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep8,0.0002130071128552,MeDeCom,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep7,0.0122205885424411,MeDeCom,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.007
healthy_NBL_0.05_20000000_rep5,0.115772747073944,MeDeCom,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.05
healthy_NBL_0.5_20000000_rep2,1.0,MeDeCom,NBL,CpGIslands,2000000,5,cfrrbs,in_silico,0.5
healthy_NBL_0.0001_20000000_rep1,0.0025,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep10,0.0008,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep3,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep4,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep5,0.0002,RefFreeCellMix,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.0001
