"","sample","predicted_tf","deconv_tool","tumor_type","regions","seq_depth","seq_method","mixture_type","expected_tf"
"1","healthy_CRC_0.0001_2000000_rep1",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"2","healthy_CRC_0.0001_2000000_rep10",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"3","healthy_CRC_0.0001_2000000_rep2",0.0142,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"4","healthy_CRC_0.0001_2000000_rep3",0.0065,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"5","healthy_CRC_0.0001_2000000_rep4",0.0046,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"6","healthy_CRC_0.0001_2000000_rep5",0.0011,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"7","healthy_CRC_0.0001_2000000_rep6",0.0113,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"8","healthy_CRC_0.0001_2000000_rep7",0.0033,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"9","healthy_CRC_0.0001_2000000_rep8",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"10","healthy_CRC_0.0001_2000000_rep9",0.0223,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"11","healthy_CRC_0.001_2000000_rep1",0.0125,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"12","healthy_CRC_0.001_2000000_rep10",0.0096,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"13","healthy_CRC_0.001_2000000_rep2",0.0129,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"14","healthy_CRC_0.001_2000000_rep3",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"15","healthy_CRC_0.001_2000000_rep4",0.0135,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"16","healthy_CRC_0.001_2000000_rep5",0.0114,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"17","healthy_CRC_0.001_2000000_rep6",0.0106,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"18","healthy_CRC_0.001_2000000_rep7",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"19","healthy_CRC_0.001_2000000_rep8",0.0271,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"20","healthy_CRC_0.001_2000000_rep9",0.025,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"21","healthy_CRC_0.003_2000000_rep1",0.0168,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"22","healthy_CRC_0.003_2000000_rep10",0.0157,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"23","healthy_CRC_0.003_2000000_rep2",0.0015,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"24","healthy_CRC_0.003_2000000_rep3",0.0166,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"25","healthy_CRC_0.003_2000000_rep4",0.0352,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"26","healthy_CRC_0.003_2000000_rep5",0.0056,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"27","healthy_CRC_0.003_2000000_rep6",8e-04,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"28","healthy_CRC_0.003_2000000_rep7",0.0262,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"29","healthy_CRC_0.003_2000000_rep8",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"30","healthy_CRC_0.003_2000000_rep9",0.0128,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.003
"31","healthy_CRC_0.007_2000000_rep1",0.0017,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"32","healthy_CRC_0.007_2000000_rep10",0.0433,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"33","healthy_CRC_0.007_2000000_rep2",0.0245,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"34","healthy_CRC_0.007_2000000_rep3",0.0288,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"35","healthy_CRC_0.007_2000000_rep4",0.038,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"36","healthy_CRC_0.007_2000000_rep5",0.0199,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"37","healthy_CRC_0.007_2000000_rep6",0.0421,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"38","healthy_CRC_0.007_2000000_rep7",0.0233,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"39","healthy_CRC_0.007_2000000_rep8",0.0365,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"40","healthy_CRC_0.007_2000000_rep9",0.0325,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.007
"41","healthy_CRC_0.01_2000000_rep1",0.0223,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"42","healthy_CRC_0.01_2000000_rep10",0.0283,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"43","healthy_CRC_0.01_2000000_rep2",0.0166,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"44","healthy_CRC_0.01_2000000_rep3",0.0269,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"45","healthy_CRC_0.01_2000000_rep4",0.0404,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"46","healthy_CRC_0.01_2000000_rep5",0.0301,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"47","healthy_CRC_0.01_2000000_rep6",0.0268,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"48","healthy_CRC_0.01_2000000_rep7",0.0399,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"49","healthy_CRC_0.01_2000000_rep8",0.0397,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"50","healthy_CRC_0.01_2000000_rep9",0.021,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.01
"51","healthy_CRC_0.025_2000000_rep1",0.0656,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"52","healthy_CRC_0.025_2000000_rep10",0.0526,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"53","healthy_CRC_0.025_2000000_rep2",0.0665,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"54","healthy_CRC_0.025_2000000_rep3",0.0772,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"55","healthy_CRC_0.025_2000000_rep4",0.0663,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"56","healthy_CRC_0.025_2000000_rep5",0.0804,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"57","healthy_CRC_0.025_2000000_rep6",0.0742,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"58","healthy_CRC_0.025_2000000_rep7",0.0738,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"59","healthy_CRC_0.025_2000000_rep8",0.0747,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"60","healthy_CRC_0.025_2000000_rep9",0.074,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.025
"61","healthy_CRC_0.05_2000000_rep1",0.14,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"62","healthy_CRC_0.05_2000000_rep10",0.121,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"63","healthy_CRC_0.05_2000000_rep2",0.1172,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"64","healthy_CRC_0.05_2000000_rep3",0.1398,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"65","healthy_CRC_0.05_2000000_rep4",0.1082,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"66","healthy_CRC_0.05_2000000_rep5",0.1271,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"67","healthy_CRC_0.05_2000000_rep6",0.1337,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"68","healthy_CRC_0.05_2000000_rep7",0.1355,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"69","healthy_CRC_0.05_2000000_rep8",0.112,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"70","healthy_CRC_0.05_2000000_rep9",0.1296,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.05
"71","healthy_CRC_0.1_2000000_rep1",0.238,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"72","healthy_CRC_0.1_2000000_rep10",0.2315,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"73","healthy_CRC_0.1_2000000_rep2",0.2483,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"74","healthy_CRC_0.1_2000000_rep3",0.2368,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"75","healthy_CRC_0.1_2000000_rep4",0.2281,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"76","healthy_CRC_0.1_2000000_rep5",0.2431,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"77","healthy_CRC_0.1_2000000_rep6",0.2384,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"78","healthy_CRC_0.1_2000000_rep7",0.2256,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"79","healthy_CRC_0.1_2000000_rep8",0.241,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"80","healthy_CRC_0.1_2000000_rep9",0.218,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.1
"81","healthy_CRC_0.25_2000000_rep1",0.517,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"82","healthy_CRC_0.25_2000000_rep10",0.5404,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"83","healthy_CRC_0.25_2000000_rep2",0.5201,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"84","healthy_CRC_0.25_2000000_rep3",0.5306,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"85","healthy_CRC_0.25_2000000_rep4",0.5458,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"86","healthy_CRC_0.25_2000000_rep5",0.5545,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"87","healthy_CRC_0.25_2000000_rep6",0.5447,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"88","healthy_CRC_0.25_2000000_rep7",0.5604,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"89","healthy_CRC_0.25_2000000_rep8",0.5451,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"90","healthy_CRC_0.25_2000000_rep9",0.5399,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.25
"91","healthy_CRC_0.5_2000000_rep1",0.9952,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"92","healthy_CRC_0.5_2000000_rep10",1,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"93","healthy_CRC_0.5_2000000_rep2",0.9855,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"94","healthy_CRC_0.5_2000000_rep3",0.9798,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"95","healthy_CRC_0.5_2000000_rep4",0.9697,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"96","healthy_CRC_0.5_2000000_rep5",0.9746,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"97","healthy_CRC_0.5_2000000_rep6",0.9954,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"98","healthy_CRC_0.5_2000000_rep7",0.987,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"99","healthy_CRC_0.5_2000000_rep8",0.9861,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"100","healthy_CRC_0.5_2000000_rep9",0.9828,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0.5
"101","healthy_CRC_0_2000000_rep1",0.0126,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"102","healthy_CRC_0_2000000_rep10",0.0109,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"103","healthy_CRC_0_2000000_rep2",9e-04,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"104","healthy_CRC_0_2000000_rep3",0,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"105","healthy_CRC_0_2000000_rep4",0.015,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"106","healthy_CRC_0_2000000_rep5",0.0112,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"107","healthy_CRC_0_2000000_rep6",7e-04,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"108","healthy_CRC_0_2000000_rep7",0.0061,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"109","healthy_CRC_0_2000000_rep8",0.0029,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"110","healthy_CRC_0_2000000_rep9",0.0039,"PRMeth_RF","CRC","CpGIslands","2M","rrbs","in_silico",0
"111","healthy_CRC_0.0001_2000000_rep1",0,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"112","healthy_CRC_0.0001_2000000_rep10",0,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"113","healthy_CRC_0.0001_2000000_rep2",0.0141995581323896,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"114","healthy_CRC_0.0001_2000000_rep3",0.0064894075617058,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"115","healthy_CRC_0.0001_2000000_rep4",0.0046328137962181,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"116","healthy_CRC_0.0001_2000000_rep5",0.001079127760718,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"117","healthy_CRC_0.0001_2000000_rep6",0.0113495156205026,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"118","healthy_CRC_0.0001_2000000_rep7",0.0033395103085448,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"119","healthy_CRC_0.0001_2000000_rep8",0,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"120","healthy_CRC_0.0001_2000000_rep9",0.0222674095558524,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",1e-04
"121","healthy_CRC_0.001_2000000_rep1",0.0124906527552851,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"122","healthy_CRC_0.001_2000000_rep10",0.0096292516228791,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",0.001
"123","healthy_CRC_0.001_2000000_rep2",0.0128544174919454,"MeDeCom","CRC","CpGIslands","2M","rrbs","in_silico",0.001
