"","name","duration","realtime","X.cpu","peak_rss","peak_vmem","rchar","wchar","dmr","samples","cpu_allocated","mem_allocated_gb","realtime_sec","peak_rss_mb"
"1","EPIDISH_eq","3.9s","2.1s","103.4%","134.9 MB","1.2 GB","14.8 MB","9.3 KB",25,50,8,16,2.1,134.9
"2","UXM","38s","31s","410.2%","746.4 MB","6.3 GB","1.4 GB","1 MB",25,50,8,16,31,746.4
"3","EPIDISH_RPC","3.5s","2.1s","102.3%","139.8 MB","1.2 GB","14.8 MB","7.5 KB",25,50,8,16,2.1,139.8
"4","METH_ATLAS","38.7s","3.1s","147.7%","64 MB","735.9 MB","14.1 MB","278.6 KB",25,50,8,16,3.1,64
"5","CIBERSORT","38.1s","5s","151.5%","107.9 MB","1.2 GB","16.6 MB","1.5 MB",25,50,8,16,5,107.9
"6","PRMETH","37.8s","1.3s","127.6%","73.6 MB","1.3 GB","6.3 MB","2.8 KB",25,50,8,16,1.3,73.6
"7","EPISCORE","37.5s","5.8s","93.1%","439.3 MB","1.5 GB","32.3 MB","2.8 KB",25,50,8,16,5.8,439.3
"8","CELFIE","34.6s","4.9s","40.1%","50 MB","406.6 MB","9.2 MB","7.6 KB",25,50,8,16,4.9,50
"9","METDECODE","34.3s","14.4s","86.8%","501.1 MB","3.8 GB","64.9 MB","3.3 KB",25,50,8,16,14.4,501.1
"10","EPIDISH_ineq","4s","2.2s","102.7%","130.3 MB","1.2 GB","14.9 MB","9.3 KB",100,50,8,16,2.2,130.3
"11","EPIDISH_eq","38s","1.8s","111.2%","136.5 MB","1.2 GB","14.9 MB","17.9 KB",50,100,8,16,1.8,136.5
"12","EPIDISH_eq","3.9s","1.7s","114.0%","133.9 MB","1.2 GB","15.3 MB","17.9 KB",250,100,8,16,1.7,133.9
"13","EPIDISH_eq","4s","2.1s","101.9%","106 MB","1.1 GB","14.8 MB","1.6 KB",50,5,8,16,2.1,106
"14","EPIDISH_eq","3.5s","2s","105.1%","130.9 MB","1.2 GB","14.8 MB","1.6 KB",25,5,8,16,2,130.9
"15","CIBERSORT","4.8s","2.2s","138.9%","65.7 MB","1.2 GB","14.8 MB","2.2 MB",500,5,8,16,2.2,65.7
"16","EPIDISH_RPC","4.6s","2.4s","101.3%","203.4 MB","1.2 GB","14.9 MB","1.3 KB",500,5,8,16,2.4,203.4
"17","CELFIE","4.7s","1.5s","95.7%","52 MB","400.4 MB","9.2 MB","42.8 KB",500,5,8,16,1.5,52
"18","METH_ATLAS","39.7s","3.7s","139.7%","343.9 MB","4 GB","14.3 MB","417.3 KB",500,5,8,16,3.7,343.9
"19","EPISCORE","39.4s","6.2s","112.1%","426.9 MB","1.5 GB","32.4 MB","749 B",500,5,8,16,6.2,426.9
"20","PRMETH","39.3s","4.2s","107.4%","65.5 MB","1.4 GB","6.4 MB","723 B",500,5,8,16,4.2,65.5
"21","METDECODE","34.8s","12.6s","96.9%","523.6 MB","4.2 GB","65 MB","1.4 KB",500,5,8,16,12.6,523.6
"22","UXM","39.7s","8.2s","231.0%","723.2 MB","5.9 GB","168.3 MB","1.4 MB",500,5,8,16,8.2,723.2
"23","EPIDISH_eq","4s","2.1s","105.2%","130.7 MB","1.2 GB","14.8 MB","4.1 KB",50,20,8,16,2.1,130.7
"24","UXM","32s","25.5s","427.0%","749.3 MB","5.9 GB","1.3 GB","14.7 MB",500,100,8,16,25.5,749.3
"25","METH_ATLAS","39.6s","2.8s","180.7%","1 GB","12.5 GB","22.8 MB","8.1 MB",500,100,8,16,2.8,1024
"26","CIBERSORT","39.4s","14.8s","188.9%","441.2 MB","4.7 GB","63 MB","44.1 MB",500,100,8,16,14.8,441.2
"27","EPISCORE","39.3s","6.4s","196.9%","540.8 MB","1.7 GB","33.2 MB","5.2 KB",500,100,8,16,6.4,540.8
"28","PRMETH","39.1s","6.1s","106.2%","111.4 MB","1.5 GB","7.2 MB","5.1 KB",500,100,8,16,6.1,111.4
"29","EPIDISH_RPC","39s","2.1s","109.7%","136.9 MB","1.2 GB","15.7 MB","14.1 KB",500,100,8,16,2.1,136.9
"30","CELFIE","34.9s","5.7s","99.2%","66.8 MB","450.8 MB","9.9 MB","52.6 KB",500,100,8,16,5.7,66.8
