tumor_type,ESTIMATE,ABSOLUTE,LUMP,IHC,CPE
BLCA_1,0.9455,0.66,0.7162,0.6,0.8347
BLCA_2,0.9948,0.95,0.7419,0.9,0.8956
BLCA_3,0.9625,0.92,0.6474,0.9,0.8308
BLCA_4,0.9497,0.95,0.5193,0.95,0.8891
BLCA_5,0.8793,0.55,0.7816,0.7849,0.7313
BLCA_6,0.9772,NaN,0.7925,0.75,0.791
BRCA_1.2,0.9035,0.73,NaN,0.835,0.8551
BRCA_2.2,0.8808,0.6,0.9033,0.8,0.7976
BRCA_3,0.8727,0.54,NaN,0.75,0.6749
BRCA_4,0.7045,0.71,NaN,0.75,0.836
BRCA_5,0.7044,0.59,NaN,0.825,0.7223
LUAD_1,0.7975,0.62,0.7493,0.75,0.7434
LUAD_2,0.9013,0.8,0.8776,0.8,0.8909
LUAD_3,0.8817,0.79,NaN,0.8,0.8498
LUAD_4,0.716,0.6,0.7685,0.8,0.7473
LUAD_5,0.8334,0.69,0.7617,0.8,0.7878
LUSC_1,0.951,0.86,NaN,0.9,0.944
LUSC_2.2,0.9275,0.83,NaN,0.85,0.9121
LUSC_3.2,0.8376,0.81,NaN,0.9,0.79
LUSC_4,0.951,0.86,NaN,0.9,0.944
LUSC_5,0.9729,0.92,NaN,0.97,0.9869
